id,group,make_decision,market,score,date
256,1,1,Los Angeles,0.95,3/14/21
257,1,1,Los Angeles,0.5,3/14/21
258,0,1,Los Angeles,0.9,3/17/21
259,0,1,Los Angeles,0.3,3/10/21
260,1,0,Los Angeles,0.1,3/7/21
261,1,1,San Francisco,0.15,3/19/21
262,1,1,Los Angeles,0.5,3/27/21
263,0,1,San Francisco,0.05,3/27/21
264,1,1,Los Angeles,0.7,3/29/21
265,0,0,Los Angeles,0.85,3/6/21
266,1,1,Los Angeles,0.8,3/4/21
267,0,1,San Francisco,0.4,3/2/21
268,0,0,San Francisco,0.4,3/3/21
269,0,0,Los Angeles,0.05,3/22/21
270,0,1,Los Angeles,0.4,3/7/21
271,1,0,San Francisco,0.75,3/13/21
272,0,1,San Francisco,0.65,3/17/21
273,0,1,Los Angeles,0.6,3/28/21
274,1,1,Los Angeles,0.1,3/5/21
275,0,1,Los Angeles,0.05,3/15/21
276,0,1,San Francisco,0.5,3/29/21
277,0,1,Los Angeles,0.9,3/17/21
278,1,1,San Francisco,0.65,3/25/21
279,0,0,Los Angeles,0.4,3/23/21
280,1,0,San Francisco,0.45,3/23/21
281,1,1,Sacramento,0.5,3/22/21
282,0,1,San Francisco,0.4,3/29/21
283,1,1,Los Angeles,0.1,3/20/21
284,1,0,Los Angeles,0.8,3/9/21
285,0,1,Los Angeles,0.7,3/2/21
286,1,0,Los Angeles,0.3,3/21/21
287,0,1,San Francisco,0.8,3/29/21
288,1,1,Los Angeles,0.75,3/16/21
289,0,1,Los Angeles,0.9,3/10/21
290,1,1,San Francisco,0.45,3/13/21
291,1,1,Los Angeles,0.4,3/8/21
292,1,0,San Francisco,0.7,3/10/21
293,1,1,Los Angeles,0.55,3/14/21
294,1,0,Sacramento,0.5,3/24/21
295,0,1,Los Angeles,0.25,3/3/21
296,0,0,San Francisco,0.25,3/30/21
297,0,0,Sacramento,0.5,3/27/21
298,1,1,San Francisco,0.75,3/13/21
299,1,1,Los Angeles,0.6,3/2/21
300,0,0,Los Angeles,0.1,3/6/21
301,1,0,Los Angeles,0.3,3/18/21
302,0,0,Los Angeles,0.55,3/29/21
303,0,0,Los Angeles,0.8,3/10/21
304,1,0,Los Angeles,0.85,3/23/21
305,1,0,San Francisco,0.85,3/14/21
306,1,1,San Francisco,0.8,3/6/21
307,1,0,Los Angeles,0.55,3/14/21
308,1,1,San Francisco,0.35,3/14/21
309,0,1,San Francisco,0.55,3/25/21
310,0,1,Los Angeles,0.9,3/2/21
311,1,1,Los Angeles,0.85,3/17/21
312,0,1,San Francisco,0.25,3/17/21
313,1,1,Los Angeles,0.9,3/29/21
314,0,1,Los Angeles,0.45,3/23/21
315,0,1,Los Angeles,0.8,3/17/21
316,0,1,Los Angeles,0.95,3/21/21
317,0,0,San Francisco,0.55,3/2/21
318,1,0,Sacramento,0.8,3/5/21
319,1,1,Los Angeles,0.75,3/7/21
320,0,1,Los Angeles,0.85,3/23/21
321,0,0,Los Angeles,0.55,3/25/21
322,0,1,Los Angeles,0.35,3/30/21
323,0,0,San Francisco,0.7,3/7/21
324,1,0,San Francisco,0.95,3/6/21
325,0,0,Los Angeles,0.75,3/22/21
326,0,1,San Francisco,0.95,3/21/21
327,0,1,Los Angeles,0.6,3/12/21
328,0,1,Los Angeles,0.35,3/16/21
329,0,1,San Francisco,0.6,3/12/21
330,1,0,Los Angeles,0.6,3/14/21
331,1,1,San Francisco,0.85,3/4/21
332,0,1,Los Angeles,0.9,3/17/21
333,0,1,Los Angeles,0.45,3/8/21
334,0,1,Los Angeles,0.45,3/14/21
335,0,1,Los Angeles,0.95,3/25/21
336,1,0,San Francisco,0.9,3/13/21
337,0,0,Los Angeles,0.95,3/13/21
338,1,1,Los Angeles,0.9,3/30/21
339,1,1,Los Angeles,0.35,3/16/21
340,1,0,Los Angeles,0.85,3/13/21
341,1,1,Los Angeles,0.45,3/14/21
342,1,1,Los Angeles,0.75,3/1/21
343,0,0,Los Angeles,0.5,3/9/21
344,1,1,Sacramento,0.3,3/10/21
345,0,1,Los Angeles,0.8,3/18/21
346,1,1,Los Angeles,0.35,3/27/21
347,1,0,Los Angeles,0.6,3/4/21
348,1,1,Los Angeles,0.4,3/29/21
349,0,0,Los Angeles,0.45,3/30/21
350,0,1,San Francisco,0.35,3/5/21
351,0,1,Los Angeles,0.35,3/4/21
352,1,1,Los Angeles,0.95,3/19/21
353,0,0,Los Angeles,0.7,3/12/21
354,1,0,Los Angeles,0.9,3/16/21
355,0,0,Los Angeles,0.45,3/12/21
356,1,0,San Francisco,0.6,3/23/21
357,0,1,Los Angeles,0.75,3/10/21
358,1,0,San Francisco,0.8,3/15/21
359,1,0,San Francisco,0.45,3/24/21
360,1,1,Los Angeles,0.7,3/1/21
361,0,1,San Francisco,0.4,3/15/21
362,0,1,San Francisco,0.7,3/1/21
363,0,0,Los Angeles,0.95,3/1/21
364,0,0,Sacramento,0.75,3/12/21
365,0,0,Sacramento,0.15,3/26/21
366,0,0,Los Angeles,0.95,3/2/21
367,1,1,Sacramento,0.85,3/5/21
368,1,1,Los Angeles,0.75,3/13/21
369,0,1,Los Angeles,0.55,3/23/21
370,1,0,San Francisco,0.55,3/27/21
371,1,1,Los Angeles,0.55,3/22/21
372,1,0,San Francisco,0.35,3/22/21
373,0,0,San Francisco,0.85,3/25/21
374,1,1,Sacramento,0.45,3/26/21
375,0,0,Los Angeles,0.95,3/21/21
376,1,1,Los Angeles,0.7,3/14/21
377,1,1,Sacramento,0.5,3/3/21
378,1,1,San Francisco,0.85,3/16/21
379,1,1,Los Angeles,0.7,3/4/21
380,1,1,San Francisco,0.55,3/15/21
381,1,1,Los Angeles,0.25,3/14/21
382,0,0,San Francisco,0.4,3/7/21
383,0,1,Los Angeles,0.95,3/29/21
384,0,1,Los Angeles,0.45,3/14/21
385,1,1,San Francisco,0.4,3/18/21
386,1,1,Sacramento,0.65,3/19/21
387,1,1,Los Angeles,0.8,3/30/21
388,1,0,San Francisco,0.45,3/19/21
389,1,1,Sacramento,0.3,3/15/21
390,0,1,Los Angeles,0.6,3/10/21
391,0,0,Los Angeles,0.9,3/14/21
392,1,0,San Francisco,0.5,3/26/21
393,1,1,Los Angeles,0.8,3/9/21
394,0,1,Sacramento,0.95,3/6/21
395,1,0,Los Angeles,0.35,3/4/21
396,1,1,Los Angeles,0.85,3/12/21
397,1,1,Los Angeles,0.35,3/12/21
398,1,0,San Francisco,0.8,3/30/21
399,0,1,Los Angeles,0.6,3/26/21
400,1,1,San Francisco,0.2,3/13/21
401,0,1,San Francisco,0.8,3/9/21
402,0,1,San Francisco,0.65,3/6/21
403,0,1,San Francisco,0.5,3/4/21
404,0,1,Los Angeles,0.6,3/5/21
405,1,1,Los Angeles,0.65,3/29/21
406,1,1,Los Angeles,0.35,3/1/21
407,0,1,San Francisco,0.25,3/24/21
408,1,1,Los Angeles,0.45,3/3/21
409,0,1,Los Angeles,0.95,3/29/21
410,1,1,San Francisco,0.9,3/1/21
411,1,1,Los Angeles,0.45,3/15/21
412,0,1,Sacramento,0.7,3/9/21
413,1,1,Los Angeles,0.35,3/14/21
414,0,0,Los Angeles,0.2,3/17/21
415,0,1,Los Angeles,0.5,3/24/21
416,1,1,Los Angeles,0.9,3/9/21
417,1,0,San Francisco,0.8,3/27/21
418,1,0,Sacramento,0.95,3/10/21
419,0,0,Los Angeles,0.15,3/20/21
420,0,0,San Francisco,0.8,3/18/21
421,0,0,San Francisco,0.85,3/22/21
422,0,0,Los Angeles,0.95,3/22/21
423,1,1,Los Angeles,0.4,3/5/21
424,0,1,Sacramento,0.45,3/12/21
425,1,0,Los Angeles,0.45,3/10/21
426,0,1,Los Angeles,0.65,3/3/21
427,1,0,San Francisco,0.15,3/3/21
428,0,1,Los Angeles,0.4,3/12/21
429,1,0,Sacramento,0.7,3/12/21
430,0,0,San Francisco,0.55,3/20/21
431,0,1,Los Angeles,0.9,3/14/21
432,1,1,San Francisco,0.65,3/20/21
433,1,1,Los Angeles,0.45,3/13/21
434,1,0,San Francisco,0.9,3/28/21
435,0,0,San Francisco,0.8,3/30/21
436,1,1,Los Angeles,0.75,3/24/21
437,1,0,Los Angeles,0.2,3/20/21
438,1,1,Los Angeles,0.65,3/30/21
439,1,0,San Francisco,0.85,3/23/21
440,1,0,Los Angeles,0.6,3/24/21
441,1,1,Los Angeles,0.95,3/21/21
442,1,1,San Francisco,0.85,3/10/21
443,1,0,Sacramento,0.6,3/12/21
444,1,0,Sacramento,0.35,3/1/21
445,0,0,Los Angeles,0.85,3/12/21
446,1,0,Los Angeles,0.05,3/3/21
447,0,1,San Francisco,0.5,3/17/21
448,0,0,Los Angeles,0.75,3/16/21
449,1,1,Los Angeles,0.1,3/24/21
450,1,1,Los Angeles,0.7,3/20/21
451,0,0,Los Angeles,0.95,3/30/21
452,1,1,Los Angeles,0.45,3/26/21
453,1,1,Sacramento,0.25,3/22/21
454,1,1,Los Angeles,0.85,3/22/21
455,1,1,Los Angeles,0.95,3/14/21
456,1,1,Los Angeles,0.85,3/3/21
457,1,1,Los Angeles,0.1,3/27/21
458,1,1,Los Angeles,0.8,3/16/21
459,1,1,San Francisco,0.85,3/27/21
460,0,0,Los Angeles,0.6,3/19/21
461,0,1,Los Angeles,0.85,3/10/21
462,0,1,Los Angeles,0.5,3/21/21
463,1,1,San Francisco,0.95,3/21/21
464,1,1,Los Angeles,0.3,3/14/21
465,0,0,Los Angeles,0.95,3/25/21
466,1,0,San Francisco,0.95,3/30/21
467,1,0,Los Angeles,0.75,3/28/21
468,1,0,Los Angeles,0.45,3/3/21
469,0,1,Los Angeles,0.75,3/15/21
470,0,1,Los Angeles,0.3,3/17/21
471,1,0,Los Angeles,0.45,3/29/21
472,1,0,Los Angeles,0.8,3/19/21
473,1,0,Los Angeles,0.75,3/12/21
474,0,1,San Francisco,0.75,3/21/21
475,0,0,Los Angeles,0.75,3/18/21
476,1,0,San Francisco,0.25,3/12/21
477,1,1,Los Angeles,0.8,3/1/21
478,1,0,Los Angeles,0.9,3/2/21
479,1,1,Los Angeles,0.5,3/27/21
480,1,1,Sacramento,0.85,3/19/21
481,1,1,Sacramento,0.7,3/4/21
482,1,0,Los Angeles,0.8,3/26/21
483,0,0,Sacramento,0.8,3/24/21
484,1,0,San Francisco,0.55,3/20/21
485,1,0,San Francisco,0.6,3/18/21
486,1,1,Los Angeles,0.55,3/6/21
487,0,0,Los Angeles,0.65,3/30/21
488,0,1,Los Angeles,0.65,3/21/21
489,1,1,Los Angeles,0.95,3/2/21
490,0,0,Los Angeles,0.2,3/30/21
491,0,0,Sacramento,0.1,3/17/21
492,1,1,San Francisco,0.35,3/2/21
493,1,1,San Francisco,0.35,3/27/21
494,1,1,Los Angeles,0.3,3/12/21
495,1,1,San Francisco,0.35,3/3/21
496,1,0,Los Angeles,0.95,3/6/21
497,1,1,Los Angeles,0.65,3/27/21
498,1,1,San Francisco,0.95,3/21/21
499,0,0,Sacramento,0.6,3/2/21
500,1,0,Sacramento,0.4,3/12/21
501,1,0,San Francisco,0.3,3/29/21
502,1,0,San Francisco,0.7,3/20/21
503,1,0,San Francisco,0.35,3/8/21
504,1,1,Los Angeles,0.75,3/16/21
505,1,1,Los Angeles,0.75,3/29/21
506,0,1,Los Angeles,0.05,3/22/21
507,1,1,Los Angeles,0.75,3/10/21
508,1,0,Sacramento,0.6,3/22/21
509,1,1,Los Angeles,0.85,3/18/21
510,1,0,Los Angeles,0.7,3/7/21
511,1,1,Los Angeles,0.6,3/4/21
512,0,0,San Francisco,0.95,3/2/21
513,1,0,San Francisco,0.25,3/15/21
514,0,0,San Francisco,0.8,3/2/21
515,0,1,Los Angeles,0.8,3/20/21
516,1,1,Sacramento,0.7,3/25/21
517,1,1,Los Angeles,0.65,3/15/21
518,1,0,Los Angeles,0.8,3/17/21
519,0,0,Los Angeles,0.6,3/18/21
520,0,0,San Francisco,0.65,3/19/21
521,1,1,Los Angeles,0.15,3/12/21
522,0,1,San Francisco,0.4,3/18/21
523,1,1,Los Angeles,0.8,3/12/21
524,1,1,Los Angeles,0.6,3/4/21
525,0,1,Los Angeles,0.65,3/24/21
526,1,0,Los Angeles,0.8,3/23/21
527,0,1,San Francisco,0.85,3/16/21
528,0,0,Los Angeles,0.5,3/25/21
529,0,1,Los Angeles,0.7,3/29/21
530,0,1,Los Angeles,0.85,3/5/21
531,0,1,Los Angeles,0.25,3/30/21
532,1,1,Sacramento,0.45,3/22/21
533,1,0,San Francisco,0.55,3/1/21
534,0,0,Los Angeles,0.9,3/28/21
535,0,0,San Francisco,0.35,3/30/21
536,0,0,San Francisco,0.65,3/1/21
537,1,1,Los Angeles,0.75,3/21/21
538,0,1,Los Angeles,0.75,3/14/21
539,0,1,Los Angeles,0.7,3/19/21
540,0,1,Los Angeles,0.85,3/23/21
541,0,1,Los Angeles,0.9,3/5/21
542,1,1,Los Angeles,0.6,3/17/21
543,0,0,Los Angeles,0.2,3/24/21
544,1,1,San Francisco,0.35,3/22/21
545,1,1,San Francisco,0.95,3/6/21
546,0,0,Los Angeles,0.15,3/22/21
547,1,0,San Francisco,0.7,3/14/21
548,1,0,Los Angeles,0.3,3/30/21
549,0,1,Los Angeles,0.3,3/22/21
550,0,0,San Francisco,0.15,3/12/21
551,0,0,Los Angeles,0.15,3/17/21
552,1,1,Los Angeles,0.55,3/10/21
553,0,0,San Francisco,0.55,3/2/21
554,0,0,San Francisco,0.95,3/2/21
555,0,0,San Francisco,0.65,3/12/21
556,1,0,Sacramento,0.95,3/13/21
557,0,1,Los Angeles,0.55,3/8/21
558,1,0,San Francisco,0.45,3/20/21
559,0,0,Los Angeles,0.25,3/20/21
560,1,1,Los Angeles,0.85,3/26/21
561,0,1,Los Angeles,0.85,3/21/21
562,1,1,Los Angeles,0.35,3/16/21
563,0,1,Los Angeles,0.6,3/17/21
564,0,1,Los Angeles,0.5,3/1/21
565,1,1,San Francisco,0.6,3/10/21
566,1,1,San Francisco,0.85,3/25/21
567,1,1,San Francisco,0.4,3/7/21
568,0,1,San Francisco,0.8,3/4/21
569,0,0,Los Angeles,0.8,3/25/21
570,1,1,Los Angeles,0.3,3/6/21
571,1,0,Los Angeles,0.65,3/3/21
572,0,1,San Francisco,0.5,3/3/21
573,0,0,Los Angeles,0.35,3/8/21
574,0,1,Los Angeles,0.95,3/2/21
575,0,0,Sacramento,0.8,3/20/21
576,0,1,Los Angeles,0.95,3/18/21
577,1,0,Los Angeles,0.8,3/6/21
578,1,1,Los Angeles,0.8,3/13/21
579,0,1,Los Angeles,0.8,3/19/21
580,0,1,Los Angeles,0.4,3/30/21
581,1,1,Los Angeles,0.8,3/10/21
582,1,1,Los Angeles,0.95,3/10/21
583,0,1,Los Angeles,0.55,3/15/21
584,1,0,Los Angeles,0.5,3/4/21
585,1,0,San Francisco,0.85,3/6/21
586,0,1,Los Angeles,0.3,3/16/21
587,1,0,Los Angeles,0.2,3/18/21
588,0,1,Los Angeles,0.35,3/22/21
589,1,0,Los Angeles,0.85,3/23/21
590,0,0,Los Angeles,0.5,3/20/21
591,0,0,Los Angeles,0.5,3/10/21
592,0,1,Los Angeles,0.45,3/29/21
593,1,1,Los Angeles,0.9,3/3/21
594,1,0,Sacramento,0.7,3/22/21
595,1,0,Los Angeles,0.6,3/13/21
596,0,1,Los Angeles,0.9,3/15/21
597,1,0,Sacramento,0.6,3/25/21
598,0,0,San Francisco,0.9,3/9/21
599,1,1,Los Angeles,0.3,3/9/21
600,1,0,San Francisco,0.35,3/3/21
601,0,0,Los Angeles,0.45,3/1/21
602,1,1,Los Angeles,0.4,3/2/21
603,1,0,San Francisco,0.75,3/16/21
604,0,1,San Francisco,0.85,3/23/21
605,0,0,Los Angeles,0.15,3/26/21
606,0,0,Sacramento,0.3,3/5/21
607,1,0,Los Angeles,0.75,3/8/21
608,0,0,San Francisco,0.05,3/20/21
609,1,1,Los Angeles,0.9,3/7/21
610,0,1,Los Angeles,0.95,3/15/21
611,1,0,San Francisco,0.2,3/24/21
612,1,0,Los Angeles,0.4,3/9/21
613,0,1,San Francisco,0.5,3/30/21
614,0,1,Sacramento,0.8,3/13/21
615,1,1,Los Angeles,0.5,3/30/21
616,1,0,San Francisco,0.45,3/3/21
617,1,0,Los Angeles,0.75,3/23/21
618,1,1,Los Angeles,0.6,3/10/21
