economy,wbcodev2,Region,Income group,reportyr,WBL INDEX,GOING PLACES,Can a woman apply for a passport in the same way as a man?,Can a woman legally travel outside the country in the same way as a man?,Can a woman legally travel outside her home in the same way as a man?,Can a woman legally choose where to live in the same way as a man?,STARTING A JOB,Can a woman get a job or pursue a trade or profession in the same way as a man?,Does the law mandate nondiscrimination based on gender in employment?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,GETTING PAID,Does the law mandate equal remuneration for work of equal value?,Can women work the same night hours as men?,"Can women work in jobs deemed hazardous, arduous or morally inappropriate in the same way as men?",Are women able to work in the same industries as men?,GETTING MARRIED,Is a married woman not legally required to obey her husband?,Can a woman be head of household or head of family in the same way as a man?,Is there domestic violence legislation?,Can a woman obtain a judgment of divorce in the same way as a man?,Do women have the same rights to remarry as men?,HAVING CHILDREN,Is there paid leave of at least 14 weeks available to women?,"Does the government pay 100% of maternity leave benefits, or parental leave benefits (where maternity leave is unavailable)?",Is there paid paternity leave?,Is there paid parental leave?,Is dismissal of pregnant workers prohibited?,RUNNING A BUSINESS,Can a woman legally sign a contract in the same way as a man?,Can a woman legally register a business in the same way as a  man?,Can a  woman legally open a bank account in the same way as a man?,Does the law prohibit discrimination by creditors on the basis of sex or gender?,MANAGING ASSETS,Do men and married women have equal ownership rights to property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do female and male surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,GETTING A PENSION,Are the ages at which men and women can retire with full pension benefits equal?,Are the ages at which men and women can retire with partial pension benefits equal?,Is the mandatory retirement age for men and women equal?,Does the law establish explicit pension care credits for periods of childcare?
Albania,ALB,Europe & Central Asia,Upper middle income,2009,82.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,Europe & Central Asia,Upper middle income,2010,82.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,Europe & Central Asia,Upper middle income,2011,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,Europe & Central Asia,Upper middle income,2012,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,Europe & Central Asia,Upper middle income,2013,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,Europe & Central Asia,Upper middle income,2014,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,Europe & Central Asia,Upper middle income,2015,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,Europe & Central Asia,Upper middle income,2016,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,Europe & Central Asia,Upper middle income,2017,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,Europe & Central Asia,Upper middle income,2018,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Algeria,DZA,Middle East & North Africa,Upper middle income,2009,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes
Algeria,DZA,Middle East & North Africa,Upper middle income,2010,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes
Algeria,DZA,Middle East & North Africa,Upper middle income,2011,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes
Algeria,DZA,Middle East & North Africa,Upper middle income,2012,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes
Algeria,DZA,Middle East & North Africa,Upper middle income,2013,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes
Algeria,DZA,Middle East & North Africa,Upper middle income,2014,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes
Algeria,DZA,Middle East & North Africa,Upper middle income,2015,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes
Algeria,DZA,Middle East & North Africa,Upper middle income,2016,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes
Algeria,DZA,Middle East & North Africa,Upper middle income,2017,57.5,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,60,Yes,Yes,Yes,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes
Algeria,DZA,Middle East & North Africa,Upper middle income,2018,57.5,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,60,Yes,Yes,Yes,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes
Angola,AGO,Sub-Saharan Africa,Lower middle income,2009,65,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,Sub-Saharan Africa,Lower middle income,2010,71.25,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Angola,AGO,Sub-Saharan Africa,Lower middle income,2011,71.25,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Angola,AGO,Sub-Saharan Africa,Lower middle income,2012,71.25,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Angola,AGO,Sub-Saharan Africa,Lower middle income,2013,73.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Angola,AGO,Sub-Saharan Africa,Lower middle income,2014,73.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Angola,AGO,Sub-Saharan Africa,Lower middle income,2015,73.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Angola,AGO,Sub-Saharan Africa,Lower middle income,2016,73.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Angola,AGO,Sub-Saharan Africa,Lower middle income,2017,73.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Angola,AGO,Sub-Saharan Africa,Lower middle income,2018,76.88,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2009,69.38,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,75,Yes,Yes,Yes,No
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2010,69.38,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,75,Yes,Yes,Yes,No
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2011,69.38,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,75,Yes,Yes,Yes,No
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2012,69.38,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,75,Yes,Yes,Yes,No
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2013,69.38,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,75,Yes,Yes,Yes,No
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2014,69.38,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,75,Yes,Yes,Yes,No
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2015,69.38,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,75,Yes,Yes,Yes,No
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2016,69.38,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,75,Yes,Yes,Yes,No
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2017,69.38,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,75,Yes,Yes,Yes,No
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2018,69.38,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,75,Yes,Yes,Yes,No
Argentina,ARG,Latin America & Caribbean,Upper middle income,2009,73.13,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No
Argentina,ARG,Latin America & Caribbean,Upper middle income,2010,76.25,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No
Argentina,ARG,Latin America & Caribbean,Upper middle income,2011,76.25,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No
Argentina,ARG,Latin America & Caribbean,Upper middle income,2012,76.25,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No
Argentina,ARG,Latin America & Caribbean,Upper middle income,2013,76.25,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No
Argentina,ARG,Latin America & Caribbean,Upper middle income,2014,76.25,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No
Argentina,ARG,Latin America & Caribbean,Upper middle income,2015,76.25,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No
Argentina,ARG,Latin America & Caribbean,Upper middle income,2016,76.25,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No
Argentina,ARG,Latin America & Caribbean,Upper middle income,2017,76.25,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No
Argentina,ARG,Latin America & Caribbean,Upper middle income,2018,76.25,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No
Armenia,ARM,Europe & Central Asia,Lower middle income,2009,83.13,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Armenia,ARM,Europe & Central Asia,Lower middle income,2010,83.13,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Armenia,ARM,Europe & Central Asia,Lower middle income,2011,83.13,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Armenia,ARM,Europe & Central Asia,Lower middle income,2012,83.13,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Armenia,ARM,Europe & Central Asia,Lower middle income,2013,83.13,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Armenia,ARM,Europe & Central Asia,Lower middle income,2014,83.13,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Armenia,ARM,Europe & Central Asia,Lower middle income,2015,83.13,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Armenia,ARM,Europe & Central Asia,Lower middle income,2016,83.13,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Armenia,ARM,Europe & Central Asia,Lower middle income,2017,83.13,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Armenia,ARM,Europe & Central Asia,Lower middle income,2018,83.13,100,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Australia,AUS,High income: OECD,High income,2009,86.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Australia,AUS,High income: OECD,High income,2010,86.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Australia,AUS,High income: OECD,High income,2011,86.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
